2025-10-27 15:07:47 | ERROR    | gui:show_error:240 - 'VideoProcessor' object has no attribute 'process_next_frame'
2025-10-27 15:07:58 | ERROR    | gui:show_error:240 - 'VideoProcessor' object has no attribute 'process_next_frame'
2025-10-27 15:08:00 | ERROR    | gui:show_error:240 - 'VideoProcessor' object has no attribute 'process_next_frame'
2025-10-27 15:22:27 | ERROR    | gui:run:51 - Error in video processing thread: 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:27 | ERROR    | gui:show_error:303 - 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:35 | ERROR    | gui:run:51 - Error in video processing thread: 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:35 | ERROR    | gui:show_error:303 - 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:36 | ERROR    | gui:run:51 - Error in video processing thread: 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:36 | ERROR    | gui:show_error:303 - 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:37 | ERROR    | gui:run:51 - Error in video processing thread: 'NoneType' object has no attribute 'process_next_frame'
2025-10-27 15:22:37 | ERROR    | gui:show_error:303 - 'NoneType' object has no attribute 'process_next_frame'
